長く冷戦の象徴となった、東ドイツによって築かれた巨大な壁は何？,ベルリンの壁,フェッセンの壁,ミュンヘンの壁,ベルリンの壁,フランクフルトの壁
2つの相反する事柄の間で板挟みになることを何という？,ジレンマ,ジレンマ,グランマ,オニヤンマ,コンマ
「秘密の話がそのまま他の人の耳に入ること」を意味する言葉はどれ？,筒抜け,間抜け,筒抜け,底抜け,腰抜け
仕事と私生活の両立を意味する言葉「◯◯◯・ライフ・バランス」。◯◯◯は何？,ワーク,ワーク,ワープ,ワーム,ワード
ことわざ「弘法にも筆の誤り」の「弘法」が指す僧侶は誰？,空海,最澄,道元,親鸞,空海
物事がぴったりと当てはまる様子を意味する言葉はどれ？,うってつけ,とってつけ,もってつけ,うってつけ,おってつけ
ヨーロッパ大陸の北西に位置するアイルランド島を領有している国は、アイルランドとどこ？,イギリス,ギリシャ,トルコ,イギリス,フランス
JRの乗車券で、8人以上が同じルートを旅行するときの割引を何という？,団体割引,介護割引,乗継割引,学生割引,団体割引
「和を以て貴しとなす」などの条文で知られる、604年に聖徳太子が定めた成文法は何？,十七条の憲法,十一条の憲法,十三条の憲法,十五条の憲法,十七条の憲法
選挙の際、候補者名や政党名を書いて出すことを何という？,投票,入票,出票,放票,投票
毎年冬に北海道札幌市で行われる、様々な雪像の展示される祭りは何？,さっぽろ雪まつり,さっぽろ霜まつり,さっぽろ冬まつり,さっぽろ雪まつり,さっぽろ氷まつり
事前に準備すれば失敗しないという意味のことわざ「転ばぬ先の◯」。◯は何？,杖,杖,流,死,笞
第一次世界大戦の「ソンムの戦い」で、世界で初めてイギリス軍が用いたとされる兵器はどれ？,戦車,水車,電車,馬車,戦車
首都候補地だったシドニーとメルボルンの間をとって首都に決まったオーストラリアの都市はどこ？,キャンベラ,キャンベラ,アデレード,バース,ブリスベン
ある動物を極端に好んでいたことにちなむ江戸幕府の5代将軍・徳川綱吉のあだ名といえば何？,犬公方,牛公方,猫公方,犬公方,馬公方
「とても理解力がある」という意味のことわざはどれ？,一を聞いて十を知る,四を聞いて万を知る,三を聞いて千を知る,一を聞いて十を知る,二を聞いて百を知る
日本の運転免許を3つに分けると、第一種免許、第二種運転免許と何？,仮運転免許,偽運転免許,未運転免許,仮運転免許,安運転免許
新年のお祝いのために知人に送る手紙は何？,年賀状,書中見舞い,快気祝い,年賀状,寒中見舞い
将棋で角行が成ると何になる？,龍馬,龍鹿,龍犬　,龍馬,龍牛
地球で、北半球と南半球の境のことを何という？,赤道,青道,赤道,黒道,緑道
お菓子の「ポップコーン」の原料は何？,トウモロコシ,麦,トウモロコシ,米,ミルク
鎌倉名物のお菓子は「◯サブレー」。◯は何？,鳩,鳩,雀,燕,鷹
トウガラシをある鳥にたとえていうと何の爪？,鷹の爪,燕の爪,鷲の爪,鳩の爪,鷹の爪
次のうち、運転免許証に記載されない情報はどれ？,メールアドレス,住所,生年月日,メールアドレス,顔写真
BMWはどこの国のメーカー？,ドイツ,アメリカ,ドイツ,マレーシア,韓国
コアラの生息地はどこ？,オーストラリア,スイス,韓国,オーストラリア,台湾
プレーンノットやウィンザーノットといえば何の結び方？,ネクタイ,ベルト,ネクタイ,靴ひも,鉢巻き
一般的なパソコンのテンキーで、最も下に配置されている数字は何？,０,１,０,５,９
日本のフリーダイヤルといえば、電話番号は一般的に何から始まる？,０１２０,０７０,０１２０,０５７０,０９０
「空腹」の反対語はどれ？,満腹,立腹,抱腹,同腹,満腹
厳島神社、原爆ドームといえば、どの都道府県にある世界遺産？,広島県,広島県,宮城県,新潟県,香川県
次のうち、女王・卑弥呼が統一した「邪馬台国」の正しい読みはどれ？,やまたいこく,かわたいこく,やまたいこく,うみたいこく,たにたいこく
オートバイで「原付」といえば、◯◯◯付自転車のことを指す。◯◯◯は？,原動機,原災法,原動機,原子力,原風景
1853年にペリーが黒船を率いて来航した場所はどこ？,浦賀,横浜,函館,神戸,浦賀
他人の利益のために危険をおかすことを「火中の何を拾う」という？,栗,骨,炭,栗,石
次のうち、中国の王朝として存在しないのはどれ？,心,晋,清,奏,心
株価の評価方法の一つである東証株価指数のことを、アルファベット5文字で何という？,TOPIX,TOPIX,SAPIX,TOEIC,TOEFL
アルファベットは全部で何文字?,26文字,26文字,23文字,24文字,25文字
漢字の部首の中で、漢字の左側に位置するのはどれ？,へん,つくり,あし,へん,かんむり
「ハシブト」「ハシボソ」などの種類がいる、ゴミを漁ることが問題となっている鳥は何？,カラス,ツバメ,トンビ,カラス,ハト
火山活動で作られた、大きな凹地のことを何という？,カルデラ,カステラ,カンデラ,カルボナーラ,カルデラ
胃の出口とつながっている、小腸のはじめの部分は何？,十二指腸,十四指腸,十八指腸,十六指腸,十二指腸
大きさや方向が変わる電流のことを、直流に対して何という？,交流,支流,交流,合流,本流
運動していなくても消費される、人間の生命維持に最低限必要なエネルギーを何という？,基礎代謝,基礎代謝,基礎感謝,基礎発射,基礎反射
テレビのリモコンにも使われている、可視光線より長い電磁波を何という？,赤外線,緑外線,赤外線,青外線,紫外線
次の金属のうち、磁石にくっつくのはどれ？,鉄,金,鉄,銅,アルミニウム
「顕微鏡」を英語でいうと何？,microscope,kaleidoscope,microscope,telescope,periscope
次にうち、ろ過するときに使う実験器具はどれ？,漏斗,漏斗,シャーレ,るつぼ,ビュレット
物理学で、力を加えられて変形した物体が、その反作用として他の物体に及ぶ力を何という？,だんせいりょく,だんしりょく,だんせいりょく,じょせいりょく,じょじりょく
次のうち、ビーカーに入った水により多くの食塩を溶かす方法として適切なのはどれ？,水の温度を上げる,水の温度を下げる,ビーカーを大きくする,水の温度を上げる,ビーカーを小さくする
ｘｙ平面に存在する次の点のうち、原点との距離が最も近いものはどれ？,"(1,1)","(2,2)","(4,4)","(3,3)","(1,1)"
兵庫県の洞窟にちなんで名づけられた、黒っぽい色の火山岩の一種は何？,玄武岩,青龍岩,白虎岩,玄武岩,朱雀岩
地表面の気温や湿度を測定する「百葉箱」は、普通何色？,白,黒,白,青,赤
温泉を表す地図記号で、出ている湯気は何本の線で表現されている？,3本,3本,1本,4本,2本
次のうち、最も明るい星を表しているものはどれ？,1等星,8等星,6等星,1等星,3等星
次のうち、電流は加えた電圧に比例し、抵抗に反比例するという法則はどれ？,オームの法則,ジュールの法則,オームの法則,アンペアの法則,ボルトの法則
「イルカ」を英語でいうと何？,dolphin,shake,turtle,dolphin,whale
「society」を日本語でいうと何？,社会,算数,国語,社会,理科
「銀河」を英語でいうと何？,galaxy,space,universe,cosmos,galaxy
「バネ」を英語でいうと何？,spring,fall,spring,winter,summer
「stone」を日本語でいうと何？,石,石,岩,砂,土
「passion」を日本語でいうと何？,情熱,忍耐,情熱,根性,勇気
「泡」を英語でいうと何？,bubble,beetle,pebble,bubble,bottle
「城」を英語でいうと何？,castle,castle,temple,tower,shrine
「skill」を日本語でいうと何？,技能,知恵,技能,価値,知識
「液体」を英語でいうと何？,liquid,solid,plasma,liquid,gas
「上着」を英語でいうと何？,jacket,rocket,cricket,bucket,jacket
「cause」を日本語でいうと何？,原因,必然,偶然,原因,結果
「ship」を日本語でいうと何？,船,電車,自動車,船,飛行機
「小指」を英語でいうと何？,pinky,pinky,redy,orangy,blacky
「Venus」を日本語でいうと何？,金星,天王星,金星,地球,木星
「警察」を英語でいうと何？,police,college,police,station,hospital
「浮き輪」を英語でいうと何？,swim ring,swin ring,metro,subway,underground
「wave」を日本語でいうと何？,波,音,風,波,光
「牛乳」を英語でいうと何？,milk,water,tea,juice,milk
「travel」を日本語でいうと何？,旅,旅,帯,カビ,海老
「緑」を英語でいうと何？,green,yellow,green,red,blue
「青」を英語でいうと何？,blue,red,green,blue,yellow
「choice」を日本語でいうと何？,選択,自由,選択,職業,移転
「cosmos」を日本語でいうと何？,秋桜,夏桜,冬桜,春桜,秋桜
「name」を日本語でいうと何？,名前,住所,名前,年齢,電話番号
「see」を日本語でいうと何？,見る,触る,見る,話す,聞く
「sky」を日本語でいうと何？,空,海,地,人,空
「気球」を英語でいうと何？,balloon,balloon,fireball,earth,water polo
「クリ」を英語でいうと何？,chestnut,peanut,chestnut,almond,walnut
「握手」を英語でいうと何？,shake hands,bare hands,tokyu hands,shake hands,change hands
「砂糖」英語でいうと何？,sugar,sugar,pepper,flour,salt
「photographer」を日本語でいうと何？,写真家,陶芸家,写真家,音楽家,作家
男性用の礼服「タキシード」。名前の由来となったものは何？,公園の名前,演劇のタイトル,動物の品種,スポーツのルール,公園の名前
ルネサンス期に活躍したダ・ヴィンチといえば、どこの国出身の画家？,イタリア,オランダ,イギリス,イタリア,フランス
花嫁が身につけるとよいという「サムシング・フォー」とは、新しいもの・古いもの・借りたものと何？,青いもの,白いもの,青いもの,黒いもの,赤いもの
次のうち、フランスのブランドはどれ？,ラコステ,アディダス,ナイキ,ラコステ,コンバース
ラーメン店「ラーメン二郎」の熱狂的なファンのことを一般に何という？,ジロリアン,ジロッティ,ジロックス,ジローラモ,ジロリアン
次のうち、希ガス元素はどれ？,ヘリウム,ヘリウム,ベリリウム,リチウム,バリウム
塩化銅とは、銅に何が化合した物質？,塩素,窒素,炭素,塩素,酸素
ニンニクの生産量日本一を誇る県は次のうちどこ？,青森県,静岡県,鳥取県,青森県,栃木県
現在の中国国家主席はだれ？,習近平,毛沢東,習近平,江沢民,胡錦濤
還暦は数え年で何歳にあたる？,61歳,61歳,60歳,58歳,59歳
句読点、帰り点、送り仮名などが何もついていない漢文は何？,白文,清文,黒文,白文,書き下し文
東京スカイツリーは東京都何区にあたる？,墨田区,千代田区,台東区,港区,墨田区